,State,Climate Data,P Values,Count
29,New Jersey,"['max_1day_precipitation_diff', 'max_5day_cumulative_precipitation_diff', 'precipitation_diff']","[0.0005, 0.0011, 0.0009]",3
30,New Mexico,['max_1day_precipitation_diff'],[0.0257],1
31,New York,['max_5day_cumulative_precipitation_diff'],[0.0485],1
32,North Carolina,"['max_avg_temperature_diff', 'max_temperature_diff', 'max_1day_precipitation_diff', 'max_5day_cumulative_precipitation_diff', 'precipitation_diff']","[0.004, 0.0082, 0.0225, 0.0201, 0.0001]",5
33,North Dakota,['num_frost_days_diff'],[0.0281],1
34,Ohio,"['max_avg_temperature_diff', 'max_1day_precipitation_diff', 'max_5day_cumulative_precipitation_diff', 'precipitation_diff']","[0.0454, 0.0179, 0.0203, 0.0115]",4
35,Oklahoma,"['max_avg_temperature_diff', 'min_avg_temperature_diff', 'mean_temperature_diff', 'min_temperature_diff', 'num_trop_nights_diff', 'max_1day_precipitation_diff', 'max_5day_cumulative_precipitation_diff', 'precipitation_diff']","[0.0157, 0.0097, 0.0077, 0.0007, 0.0031, 0.0017, 0.0079, 0.0004]",8
36,Oregon,[],[],0
37,Pennsylvania,"['max_5day_cumulative_precipitation_diff', 'precipitation_diff']","[0.032, 0.0338]",2
38,Rhode Island,['precipitation_diff'],[0.0031],1
39,South Carolina,"['max_avg_temperature_diff', 'precipitation_diff']","[0.0128, 0.0001]",2
40,South Dakota,[],[],0
41,Tennessee,"['max_avg_temperature_diff', 'mean_temperature_diff', 'max_1day_precipitation_diff', 'max_5day_cumulative_precipitation_diff', 'precipitation_diff']","[0.0028, 0.0067, 0.0007, 0.0002, 0.0004]",5
42,Texas,[],[],0
43,Utah,"['max_1day_precipitation_diff', 'max_5day_cumulative_precipitation_diff', 'precipitation_diff']","[0.0004, 0.0012, 0.0005]",3
44,Vermont,['precipitation_diff'],[0.0086],1
45,Virginia,"['max_avg_temperature_diff', 'mean_temperature_diff', 'max_temperature_diff', 'max_1day_precipitation_diff', 'max_5day_cumulative_precipitation_diff', 'precipitation_diff']","[0.0071, 0.0332, 0.0052, 0.001, 0.0008, 0.0004]",6
46,Washington,[],[],0
47,West Virginia,"['max_avg_temperature_diff', 'mean_temperature_diff', 'max_1day_precipitation_diff', 'max_5day_cumulative_precipitation_diff', 'precipitation_diff']","[0.0073, 0.0345, 0.0008, 0.0013, 0.0033]",5
48,Wisconsin,"['min_avg_temperature_diff', 'min_temperature_diff', 'num_frost_days_diff']","[0.0122, 0.0129, 0.004]",3
49,Wyoming,"['num_trop_nights_diff', 'precipitation_diff']","[0.0132, 0.0133]",2
