,state,climate data VADER,p values VADER,count VADER,climate data distilBERT,p values distilBERT,count distilBERT
22,Missouri,"max_avg_temperature_diff, min_avg_temperature_diff, mean_temperature_diff, min_temperature_diff, num_trop_nights_diff, max_5day_cumulative_precipitation_diff","0.01, 0.0321, 0.0206, 0.0486, 0.0282, 0.0012",6,precipitation_diff,0.0267,1
23,Montana,None,None,0,"max_avg_temperature_diff, min_avg_temperature_diff, mean_temperature_diff, max_temperature_diff, min_temperature_diff, num_frost_days_diff, num_trop_nights_diff","0.014, 0.0339, 0.0191, 0.041, 0.0167, 0.0189, 0.0225",7
24,Nevada,"num_frost_days_diff, max_1day_precipitation_diff, max_5day_cumulative_precipitation_diff, precipitation_diff","0.0215, 0.0023, 0.0039, 0.0032",4,"max_avg_temperature_diff, min_avg_temperature_diff, mean_temperature_diff, max_temperature_diff, min_temperature_diff, num_trop_nights_diff","0.0081, 0.0082, 0.0076, 0.0183, 0.0104, 0.0096",6
25,New Hampshire,None,None,0,"max_avg_temperature_diff, min_avg_temperature_diff, mean_temperature_diff, min_temperature_diff, max_1day_precipitation_diff, max_5day_cumulative_precipitation_diff, precipitation_diff","0.0121, 0.0106, 0.0106, 0.0352, 0.0316, 0.0091, 0.0301",7
26,New Jersey,"max_1day_precipitation_diff, max_5day_cumulative_precipitation_diff, precipitation_diff","0.0024, 0.005, 0.0035",3,None,None,0
27,New Mexico,None,None,0,"max_avg_temperature_diff, max_temperature_diff, num_trop_nights_diff, max_5day_cumulative_precipitation_diff","0.0289, 0.015, 0.0316, 0.026",4
28,New York,None,None,0,"max_avg_temperature_diff, min_avg_temperature_diff, mean_temperature_diff, num_trop_nights_diff","0.0178, 0.0155, 0.0154, 0.046",4
29,North Carolina,"max_avg_temperature_diff, max_temperature_diff, precipitation_diff","0.0217, 0.031, 0.0015",3,None,None,0
30,North Dakota,"num_frost_days_diff, max_5day_cumulative_precipitation_diff","0.0432, 0.042",2,"max_avg_temperature_diff, mean_temperature_diff","0.0142, 0.0254",2
31,Ohio,"max_1day_precipitation_diff, max_5day_cumulative_precipitation_diff, precipitation_diff","0.0318, 0.0335, 0.0192",3,None,None,0
32,Oklahoma,"min_avg_temperature_diff, mean_temperature_diff, min_temperature_diff, num_trop_nights_diff, max_1day_precipitation_diff, max_5day_cumulative_precipitation_diff, precipitation_diff","0.0465, 0.0389, 0.0067, 0.0205, 0.0109, 0.0337, 0.0035",7,None,None,0
33,Oregon,None,None,0,"max_avg_temperature_diff, min_avg_temperature_diff, mean_temperature_diff, max_temperature_diff, min_temperature_diff, num_frost_days_diff, num_trop_nights_diff","0.0071, 0.0113, 0.0072, 0.0084, 0.0101, 0.0079, 0.015",7
34,Rhode Island,precipitation_diff,0.0043,1,"max_avg_temperature_diff, min_avg_temperature_diff, mean_temperature_diff, min_temperature_diff, num_trop_nights_diff","0.0209, 0.0115, 0.0145, 0.0255, 0.012",5
35,South Carolina,"max_avg_temperature_diff, precipitation_diff","0.021, 0.0001",2,max_1day_precipitation_diff,0.0437,1
36,South Dakota,None,None,0,"max_avg_temperature_diff, mean_temperature_diff, max_1day_precipitation_diff, max_5day_cumulative_precipitation_diff","0.025, 0.0385, 0.029, 0.0385",4
37,Tennessee,"max_avg_temperature_diff, mean_temperature_diff, max_1day_precipitation_diff, max_5day_cumulative_precipitation_diff, precipitation_diff","0.0076, 0.0182, 0.0017, 0.0005, 0.001",5,None,None,0
38,Texas,None,None,0,max_temperature_diff,0.0369,1
39,Utah,"max_1day_precipitation_diff, max_5day_cumulative_precipitation_diff, precipitation_diff","0.0006, 0.0012, 0.0007",3,"max_avg_temperature_diff, min_avg_temperature_diff, mean_temperature_diff, max_temperature_diff, min_temperature_diff, num_frost_days_diff, num_trop_nights_diff","0.0119, 0.0175, 0.0139, 0.0383, 0.0169, 0.043, 0.0261",7
40,Vermont,precipitation_diff,0.016,1,None,None,0
41,Virginia,"max_avg_temperature_diff, max_temperature_diff, max_1day_precipitation_diff, max_5day_cumulative_precipitation_diff, precipitation_diff","0.0179, 0.0128, 0.003, 0.0024, 0.0013",5,None,None,0
42,Washington,None,None,0,"max_avg_temperature_diff, min_avg_temperature_diff, mean_temperature_diff, max_temperature_diff, min_temperature_diff, num_frost_days_diff, num_trop_nights_diff, precipitation_diff","0.0122, 0.0234, 0.0145, 0.013, 0.0158, 0.0149, 0.022, 0.0177",8
43,West Virginia,"max_avg_temperature_diff, max_1day_precipitation_diff, max_5day_cumulative_precipitation_diff, precipitation_diff","0.0214, 0.0018, 0.0041, 0.0071",4,None,None,0
44,Wisconsin,"min_avg_temperature_diff, min_temperature_diff, num_frost_days_diff","0.0354, 0.0365, 0.0194",3,None,None,0
45,Wyoming,"num_trop_nights_diff, max_5day_cumulative_precipitation_diff, precipitation_diff","0.0191, 0.0297, 0.0066",3,"max_avg_temperature_diff, min_avg_temperature_diff, mean_temperature_diff","0.0189, 0.0468, 0.0256",3
